actions,boundary,bytes,cli_first_refresh_ms,client_cpu_ms,columns,columns_returned,cpu_ms,digest,first_fetch_ms,first_fetch_rx_bytes,first_result_refresh_ms,frames,image,image_id,iteration,loop_delays_over_16_7_ms,loop_delays_over_50_ms,max_loop_delay_ms,maxrss_kib,objects,one_core_cpu_percent,one_way_delay_ms,p95_loop_delay_ms,parent_cpu_ms,parent_ready_ms,pattern,process_cpu_ms,provider,pty_bytes,routines,rows,rows_returned,rx_bytes,scenario,source_sha,suggestions,suite,tables,terminal_bytes,trial,truncated,tx_bytes,variant,wall_ms,watchdog_events,worker_reported_ms
,,,,,,,34.493291000000035,,,,,1,,,,1,0,31.535833999550963,121940,,99.61824064031292,,26.958856249548255,,,,,,,5000,,,,autocomplete_5000_routines,0640c96464dcb50434f97b14d097418b51b110ba,50,completion,,20541,5,,,candidate,34.62547699928109,0,
,,,,,,,88.51610500000001,,,,,2,,,,1,1,86.81190799972683,117492,,99.0898379244638,,73.84754959982271,,,,,,,1000,,,,autocomplete_1000_routines,9db49c230c7cab6abe497d14b9f51e39ad30cb42,50,completion,,23742,6,,,baseline,89.32914500019251,0,
,,,,,,,1812.4937199999997,,,,,1,,,,1,1,1816.5222509998057,120948,,99.60363036219997,,1544.14975814986,,,,,,,5000,,,,autocomplete_5000_routines,9db49c230c7cab6abe497d14b9f51e39ad30cb42,50,completion,,18297,6,,,baseline,1819.7064839996528,0,
,,,,,,,20.972880999999997,,,,,1,,,,1,0,18.948310000378115,116368,,99.74110347856939,,16.25003620039933,,,,,,,1000,,,,autocomplete_1000_routines,0640c96464dcb50434f97b14d097418b51b110ba,50,completion,,18297,6,,,candidate,21.02732000003016,0,
,,,,,,,51.274142999999995,,,,,1,,,,1,1,52.863787000314915,122128,,91.62964115009375,,45.111912100282986,,,,,,,5000,,,,autocomplete_5000_routines,0640c96464dcb50434f97b14d097418b51b110ba,50,completion,,20541,6,,,candidate,55.958031000045594,0,
,,,,,,,105.54071499999995,,,,,1,,,,1,1,119.61638799959474,116156,,87.0017826675815,,101.83128909963666,,,,,,,1000,,,,autocomplete_1000_routines,9db49c230c7cab6abe497d14b9f51e39ad30cb42,50,completion,,18297,7,,,baseline,121.30868099939107,0,
,,,,,,,1859.3121850000002,,,,,1,,,,1,1,1890.4423859995586,120124,,98.1342223024213,,1607.0155891496318,,,,,,,5000,,,,autocomplete_5000_routines,9db49c230c7cab6abe497d14b9f51e39ad30cb42,50,completion,,20541,7,,,baseline,1894.6623729998464,0,
,,,,,,,20.730142999999977,,,,,1,,,,1,0,16.799951000502915,116448,,99.5786167536917,,14.373261350347088,,,,,,,1000,,,,autocomplete_1000_routines,0640c96464dcb50434f97b14d097418b51b110ba,50,completion,,18297,7,,,candidate,20.817865999561036,0,
,,,,,,,32.67219399999999,,,,,1,,,,1,0,31.763542999324276,122336,,99.55431486957163,,27.04124674944068,,,,,,,5000,,,,autocomplete_5000_routines,0640c96464dcb50434f97b14d097418b51b110ba,50,completion,,20541,7,,,candidate,32.818461000715615,0,
,,,,,,,96.66114600000003,,,,,2,,,,1,1,99.57713199957652,117228,,93.32599594652761,,84.77286429967532,,,,,,,1000,,,,autocomplete_1000_routines,9db49c230c7cab6abe497d14b9f51e39ad30cb42,50,completion,,23742,8,,,baseline,103.5736559997531,0,
